metric,baseline_version,candidate_version,n,n_excluded_tie,n_excluded_missing,pass_base,pass_deg,a,b,c,d,p_raw,p_holm,p_bh,rd,ci_low,ci_high,or,family,method,ci_method,note
category_match,v1 (e0_noise repeats 0+1+2),v2a,70,0,0,64,64,63,1,1,5,1.000000,1.000000,,0.000000,-0.063934,0.063934,1.000000,confirmatory_holm,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage)"
category_match,v1 (e0_noise repeats 0+1+2),v2b,70,0,0,64,64,63,1,1,5,1.000000,1.000000,,0.000000,-0.063934,0.063934,1.000000,confirmatory_holm,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage)"
category_match,v1 (e0_noise repeats 0+1+2),v2c,70,0,0,64,56,54,10,2,4,0.038574,0.154297,,-0.114286,-0.218647,-0.015211,0.200000,confirmatory_holm,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage)"
category_match,v1 (e0_noise repeats 0+1+2),v2d,70,0,0,64,65,64,0,1,5,1.000000,1.000000,,0.014286,-0.040956,0.075415,,confirmatory_holm,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); odds ratio undefined (b = 0)"
passed,v1 (e0_noise repeats 0+1+2),v2a,70,0,0,64,64,63,1,1,5,1.000000,,1.000000,0.000000,-0.063934,0.063934,1.000000,exploratory_bh,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory"
passed,v1 (e0_noise repeats 0+1+2),v2b,70,0,0,64,64,63,1,1,5,1.000000,,1.000000,0.000000,-0.063934,0.063934,1.000000,exploratory_bh,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory"
passed,v1 (e0_noise repeats 0+1+2),v2c,70,0,0,64,56,54,10,2,4,0.038574,,0.154297,-0.114286,-0.218647,-0.015211,0.200000,exploratory_bh,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory"
passed,v1 (e0_noise repeats 0+1+2),v2d,70,0,0,64,65,64,0,1,5,1.000000,,1.000000,0.014286,-0.040956,0.075415,,exploratory_bh,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory; odds ratio undefined (b = 0)"
category_match,v1 (e0_noise repeats 0+1+2),v2a,69,0,0,64,64,63,1,1,4,1.000000,,,0.000000,-0.065775,0.065775,1.000000,sensitivity_drop_leaked_case,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); PREREGISTRATION section 10.10.1 sensitivity analysis, case-043 dropped from the pairing; no multiplicity adjustment, read p_raw"
category_match,v1 (e0_noise repeats 0+1+2),v2b,69,0,0,64,64,63,1,1,4,1.000000,,,0.000000,-0.065775,0.065775,1.000000,sensitivity_drop_leaked_case,mcnemar_exact,newcombe_1998_method10,"Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); PREREGISTRATION section 10.10.1 sensitivity analysis, case-043 dropped from the pairing; no multiplicity adjustment, read p_raw"
