metric,candidate_version,n,alpha,alpha_basis,power,mc_se,n_sim,seed,n_observed_pairs,observed_b,observed_c,mean_b,mean_c,method,note
category_match,v2a,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.418000,0.425500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.418000,0.425500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,50,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.711500,0.706500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,50,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.711500,0.706500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,70,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,1.040000,0.981000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,70,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,1.040000,0.981000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.428500,0.414500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.428500,0.414500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,50,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.703500,0.689000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,50,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.703500,0.689000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,70,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.994000,0.986000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,70,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.994000,0.986000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,30,0.050000,nominal,0.116500,0.007174,2000,20260920,70,10,2,4.235500,0.899000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,30,0.012500,holm_worst_case,0.023000,0.003352,2000,20260920,70,10,2,4.235500,0.899000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,50,0.050000,nominal,0.377000,0.010837,2000,20260920,70,10,2,7.137000,1.407500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,50,0.012500,holm_worst_case,0.165000,0.008300,2000,20260920,70,10,2,7.137000,1.407500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,70,0.050000,nominal,0.550500,0.011123,2000,20260920,70,10,2,9.959500,2.057000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,70,0.012500,holm_worst_case,0.322000,0.010448,2000,20260920,70,10,2,9.959500,2.057000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.465500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.465500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,50,0.050000,nominal,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.706000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,50,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.706000,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,70,0.050000,nominal,0.000000,0.000000,2000,20260920,70,0,1,0.000000,1.031500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,70,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,0,1,0.000000,1.031500,case_resampling_conditional_power_mcnemar_exact,"simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
