row_type,family,judge_model,layer,comparison,n,k,estimate,wilson_lo,wilson_hi,ci_width,b,c,p_value,p_bh,test,n_excluded,note
coverage,descriptive,claude-haiku-4-5,easy,design cells,140,140,1.000000,,,,,,,,,0,70 of 70 pairs have both orders; failure types: none; answered rows by batch: e2_pairwise_20260916T145210Z.jsonl=140
coverage,descriptive,claude-haiku-4-5,hard,design cells,140,140,1.000000,,,,,,,,,0,70 of 70 pairs have both orders; failure types: none; answered rows by batch: e2_pairwise_20260916T145210Z.jsonl=140
coverage,descriptive,claude-sonnet-5,easy,design cells,140,140,1.000000,,,,,,,,,0,"70 of 70 pairs have both orders; failure types: none; answered rows by batch: e2_pairwise_20260915T173047Z.jsonl=94, e2_pairwise_20260916T145210Z.jsonl=46"
coverage,descriptive,claude-sonnet-5,hard,design cells,140,140,1.000000,,,,,,,,,0,70 of 70 pairs have both orders; failure types: none; answered rows by batch: e2_pairwise_20260916T145210Z.jsonl=140
rate,exploratory_bh_e2_consistency,claude-haiku-4-5,easy,order swapped,70,52,0.742857,0.629739,0.830707,0.200969,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,exploratory_bh_e2_consistency,claude-haiku-4-5,hard,order swapped,70,52,0.742857,0.629739,0.830707,0.200969,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,descriptive,claude-haiku-4-5,(both),order swapped,140,104,0.742857,0.664653,0.808090,0.143436,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,exploratory_bh_e2_consistency,claude-sonnet-5,easy,order swapped,70,58,0.828571,0.723834,0.899123,0.175289,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,exploratory_bh_e2_consistency,claude-sonnet-5,hard,order swapped,70,59,0.842857,0.740118,0.909924,0.169806,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,descriptive,claude-sonnet-5,(both),order swapped,140,117,0.835714,0.765536,0.887962,0.122426,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,descriptive,(both),easy,order swapped,140,110,0.785714,0.710596,0.845572,0.134977,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,descriptive,(both),hard,order swapped,140,111,0.792857,0.718348,0.851724,0.133375,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
rate,descriptive,(both),(both),order swapped,280,221,0.789286,0.737766,0.832975,0.095209,,,,,,0,unit = one pair judged in both orders; consistent means the same summary source won both times (tie counts as a verdict)
winner_share,descriptive,claude-haiku-4-5,easy,v1_repeat0 vs v2b_repeat0,37,24,0.648649,0.487590,0.781744,0.294154,,,,,,,share of decisive consistent pairs won by v1_repeat0; 33 of 70 pairs were a tie or order-dependent
