row_type,family,judge_model,layer,subset,n_calls,n_ok,n_tie,tie_rate,n_decisive,k_first_position,estimate,wilson_lo,wilson_hi,p_binomial,p_bh,cluster_ci_low,cluster_ci_high,n_clusters,n_boot,seed,test,note
position,exploratory_bh_e2_position,claude-haiku-4-5,easy,all pairs,140,140,46,0.328571,94,51,0.542553,0.442154,0.639610,0.470492,0.940984,0.494505,0.595506,55,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,exploratory_bh_e2_position,claude-haiku-4-5,hard,all pairs,140,140,94,0.671429,46,27,0.586957,0.443395,0.717114,0.301996,0.940984,0.476190,0.702128,30,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,claude-haiku-4-5,(both),all pairs,280,280,140,0.500000,140,78,0.557143,0.474428,0.636806,0.204732,,0.503497,0.610294,57,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,exploratory_bh_e2_position,claude-sonnet-5,easy,all pairs,140,140,107,0.764286,33,15,0.454545,0.298429,0.620141,0.728332,0.971110,0.333333,0.566667,22,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,exploratory_bh_e2_position,claude-sonnet-5,hard,all pairs,140,140,117,0.835714,23,11,0.478261,0.292372,0.670373,1.000000,1.000000,0.333333,0.619048,17,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,claude-sonnet-5,(both),all pairs,280,280,224,0.800000,56,26,0.464286,0.340199,0.592958,0.688880,,0.375000,0.560000,31,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,(both),easy,all pairs,280,280,153,0.546429,127,66,0.519685,0.433498,0.604716,0.722787,,0.473282,0.566372,57,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,(both),hard,all pairs,280,280,211,0.753571,69,38,0.550725,0.433788,0.662311,0.470369,,0.452055,0.648649,33,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,(both),(both),all pairs,560,560,364,0.650000,196,104,0.530612,0.460829,0.599219,0.432111,,0.481675,0.579545,59,10000,20260920,exact_binomial_vs_0.5,"a tie is neither a first-position win nor a second-position win, so it is out of the binomial denominator and reported as its own rate; the exact binomial treats calls as independent; each case contributes several calls, so the case-cluster bootstrap interval in the same row is the honest width"
position,descriptive,claude-haiku-4-5,hard,identical summaries,8,8,8,1.000000,0,,,,,,,,,0,,,,"both candidates are the same string, so a tie is the only verdict that is not a position preference; no interval from this many calls is worth quoting"
position,descriptive,claude-sonnet-5,hard,identical summaries,8,8,8,1.000000,0,,,,,,,,,0,,,,"both candidates are the same string, so a tie is the only verdict that is not a position preference; no interval from this many calls is worth quoting"
position,descriptive,(both),hard,identical summaries,16,16,16,1.000000,0,,,,,,,,,0,,,,"both candidates are the same string, so a tie is the only verdict that is not a position preference; no interval from this many calls is worth quoting"
