model_id,family,data,formula,n_obs,n_clusters,fitted,term,reference_level,coefficient,std_error,se_type,z,p_value,odds_ratio,or_ci_low,or_ci_high,converged,method,note
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,const,,3.980819,0.981511,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",4.055806,0.000050,53.560886,7.823190,366.700589,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,language[en],zh-tw,0.078972,0.521190,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.151523,0.879563,1.082174,0.389636,3.005627,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,language[mixed],zh-tw,1.321714,0.831390,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",1.589764,0.111888,3.749843,0.735077,19.129044,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,difficulty[ambiguous],easy,-1.422351,0.930469,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.528638,0.126354,0.241146,0.038928,1.493819,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,difficulty[edge],easy,-2.717743,0.680614,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-3.993074,0.000065,0.066024,0.017392,0.250633,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[technical],billing,0.009360,1.309096,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.007150,0.994295,1.009404,0.077582,13.133160,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[general],billing,-2.100410,0.787087,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-2.668586,0.007617,0.122406,0.026172,0.572497,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m1_pooled_arms,primary,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[account],billing,-0.772877,0.980420,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.788312,0.430514,0.461683,0.067579,3.154124,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m2_baseline_arm_only,sensitivity,e0_noise:v1,category_match ~ language + difficulty + category,350,70,no,(model not fitted),,,,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",,,,,,,logit_cluster_robust,"not fitted: separation. These levels have a constant outcome, so their maximum-likelihood coefficients are unbounded: language[mixed]=35/35; category[account]=80/80. Firth penalised likelihood not run: no validated implementation is available here (statsmodels 0.15.0 has none and firthlogist is not installed), and this package does not ship an unvalidated one. Recorded as not done rather than approximated."
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,const,,4.382843,1.254860,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",3.492693,0.000478,80.065309,6.843925,936.663375,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,language[en],zh-tw,0.076511,0.544472,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.140523,0.888247,1.079514,0.371341,3.138224,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,language[mixed],zh-tw,1.378849,0.849898,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",1.622370,0.104724,3.970327,0.750572,21.001994,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,difficulty[ambiguous],easy,-1.478040,0.971816,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.520905,0.128284,0.228084,0.033953,1.532169,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,difficulty[edge],easy,-2.865490,0.767260,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-3.734705,0.000188,0.056955,0.012660,0.256228,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[technical],billing,0.004982,1.365410,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.003649,0.997089,1.004994,0.069171,14.601677,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[general],billing,-2.194888,0.873440,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-2.512925,0.011973,0.111371,0.020105,0.616943,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[account],billing,-0.811026,1.049406,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.772843,0.439615,0.444402,0.056822,3.475614,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2a],v1,-0.000000,0.321599,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.000000,1.000000,1.000000,0.532420,1.878216,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2b],v1,0.086974,0.308604,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.281829,0.778074,1.090868,0.595783,1.997360,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2c],v1,-1.332688,0.645342,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-2.065090,0.038915,0.263767,0.074457,0.934408,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m3_pooled_plus_version_term,sensitivity,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2d],v1,0.086974,0.197209,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.441021,0.659197,1.090868,0.741152,1.605599,yes,logit_cluster_robust,exploratory; p-values here are not BH-adjusted and are not part of any family
m4_firth_sparse_cell_sensitivity,sensitivity,,firth-penalised category_match ~ language + difficulty + category,,,no,(not run),,,,,,,,,,,firth_penalised_likelihood,"Firth penalised likelihood not run: no validated implementation is available here (statsmodels 0.15.0 has none and firthlogist is not installed), and this package does not ship an unvalidated one. Recorded as not done rather than approximated."
