family,exp_id,prompt_version,metric,unit,stratum_kind,stratum,n,k,estimate,wilson_lo,wilson_hi,ci_width,n_rest,k_rest,estimate_rest,difference,fisher_p,p_bh,n_in_bh_family,n_excluded_tie,ci_method,test,note
descriptive,e0_noise,v1,category_match,case,overall,all,70,64,0.914286,0.825343,0.960123,0.134780,,,,,,,,0,wilson,,"one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,language,zh-tw,35,31,0.885714,0.740485,0.954648,0.214163,35,33,0.942857,-0.057143,0.673289,1.000000,10,0,wilson,fisher_exact_conditional,"members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,language,en,28,26,0.928571,0.773546,0.980188,0.206642,42,38,0.904762,0.023810,1.000000,1.000000,10,0,wilson,fisher_exact_conditional,"members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,57,0.904762,0.095238,1.000000,1.000000,10,0,wilson,fisher_exact_conditional,"members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,difficulty,easy,45,44,0.977778,0.884333,0.996066,0.111733,25,20,0.800000,0.177778,0.019585,0.092030,10,0,wilson,fisher_exact_conditional,"45 cases, not a consecutive block"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,difficulty,ambiguous,17,16,0.941176,0.730180,0.989540,0.259360,53,48,0.905660,0.035516,1.000000,1.000000,10,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,60,0.967742,-0.467742,0.001036,0.010363,10,0,wilson,fisher_exact_conditional,"members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,category,billing,19,18,0.947368,0.753613,0.990648,0.237035,51,46,0.901961,0.045408,1.000000,1.000000,10,0,wilson,fisher_exact_conditional,"19 cases, not a consecutive block"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,category,technical,18,17,0.944444,0.742427,0.990125,0.247698,52,47,0.903846,0.040598,1.000000,1.000000,10,0,wilson,fisher_exact_conditional,"18 cases, not a consecutive block"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,category,general,17,13,0.764706,0.527382,0.904450,0.377068,53,51,0.962264,-0.197558,0.027609,0.092030,10,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_baseline,e0_noise,v1,category_match,case,category,account,16,16,1.000000,0.806392,1.000000,0.193608,54,48,0.888889,0.111111,0.324642,0.811604,10,0,wilson,fisher_exact_conditional,"16 cases, not a consecutive block"
descriptive,e1_v2a,v2a,category_match,case,overall,all,70,64,0.914286,0.825343,0.960123,0.134780,,,,,,,,0,wilson,,"one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,language,zh-tw,35,30,0.857143,0.706244,0.937398,0.231153,35,34,0.971429,-0.114286,0.198073,0.528195,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,language,en,28,27,0.964286,0.822878,0.993667,0.170789,42,37,0.880952,0.083333,0.390478,0.822060,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,57,0.904762,0.095238,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,difficulty,easy,45,44,0.977778,0.884333,0.996066,0.111733,25,20,0.800000,0.177778,0.019585,0.097927,40,0,wilson,fisher_exact_conditional,"45 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,difficulty,ambiguous,17,15,0.882353,0.656636,0.967120,0.310484,53,49,0.924528,-0.042175,0.627928,1.000000,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,difficulty,edge,8,5,0.625000,0.305742,0.863156,0.557413,62,59,0.951613,-0.326613,0.017189,0.097927,40,0,wilson,fisher_exact_conditional,"members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,category,billing,19,17,0.894737,0.686059,0.970641,0.284582,51,47,0.921569,-0.026832,0.659598,1.000000,40,0,wilson,fisher_exact_conditional,"19 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,category,technical,18,17,0.944444,0.742427,0.990125,0.247698,52,47,0.903846,0.040598,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"18 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,category,general,17,14,0.823529,0.589705,0.938089,0.348383,53,50,0.943396,-0.119867,0.149102,0.426006,40,0,wilson,fisher_exact_conditional,"17 cases, not a consecutive block"
exploratory_bh_strata_degraded,e1_v2a,v2a,category_match,case,category,account,16,16,1.000000,0.806392,1.000000,0.193608,54,48,0.888889,0.111111,0.324642,0.770109,40,0,wilson,fisher_exact_conditional,"16 cases, not a consecutive block"
descriptive,e1_v2b,v2b,category_match,case,overall,all,70,64,0.914286,0.825343,0.960123,0.134780,,,,,,,,0,wilson,,"one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,language,zh-tw,35,32,0.914286,0.776207,0.970418,0.194210,35,32,0.914286,0.000000,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,language,en,28,25,0.892857,0.728041,0.962882,0.234840,42,39,0.928571,-0.035714,0.677312,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
exploratory_bh_strata_degraded,e1_v2b,v2b,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,57,0.904762,0.095238,1.000000,1.000000,40,0,wilson,fisher_exact_conditional,"members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
