table,row_key,column,v1_1_value,gold_v2_value,note
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=0|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=0|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=0|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=0|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=0|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=1|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=1|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=1|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=1|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=1|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=2|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=2|case_id=case-020,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=2|case_id=case-021,expected_category,billing,general,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=2|case_id=case-051,expected_category,general,billing,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=2|case_id=case-054,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=3|case_id=case-015,expected_category,account,technical,
per_case_outcomes.csv,exp_id=e0_judge_iso|run_id=e0_judge_iso_20260914T120557Z|prompt_version=v1|repeat_idx=3|case_id=case-020,expected_category,general,billing,
