exp_id,run_id,case_id,n_scores,scores,distinct_scores,all_equal,mean,sd_sample,min,max,n_score_ge_3,gate_flip,fleiss_kappa,krippendorff_alpha,note
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-001,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-002,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-003,3,3|3|3,1,1,3.000000,0.000000,3,3,3,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-004,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-005,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-006,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-007,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-008,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-009,4,4|4|4|4,1,1,4.000000,0.000000,4,4,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-010,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-011,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-012,4,3|3|3|3,1,1,3.000000,0.000000,3,3,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-013,4,5|5|5|5,1,1,5.000000,0.000000,5,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-014,4,4|5|5|5,2,0,4.750000,0.500000,4,5,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-015,4,3|3|3|3,1,1,3.000000,0.000000,3,3,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
e0_judge_iso,e0_judge_iso_20260914T120557Z,case-016,4,4|4|4|4,1,1,4.000000,0.000000,4,4,4,0,,,fleiss_kappa and krippendorff_alpha are not implemented; left empty rather than approximated (experiments/README.md)
