exp_id,run_id,prompt_version,score,n,share,n_total,method
e0_judge_iso,e0_judge_iso_20260914T120557Z,v1,1,0,0.000000,279,count
e0_judge_iso,e0_judge_iso_20260914T120557Z,v1,2,1,0.003584,279,count
e0_judge_iso,e0_judge_iso_20260914T120557Z,v1,3,19,0.068100,279,count
e0_judge_iso,e0_judge_iso_20260914T120557Z,v1,4,60,0.215054,279,count
e0_judge_iso,e0_judge_iso_20260914T120557Z,v1,5,199,0.713262,279,count
e0_noise,e0_noise_20260914T115913Z,v1,1,0,0.000000,350,count
e0_noise,e0_noise_20260914T115913Z,v1,2,0,0.000000,350,count
e0_noise,e0_noise_20260914T115913Z,v1,3,21,0.060000,350,count
e0_noise,e0_noise_20260914T115913Z,v1,4,79,0.225714,350,count
e0_noise,e0_noise_20260914T115913Z,v1,5,250,0.714286,350,count
e1_v2a,e1_v2a_20260915T153333Z,v2a,1,0,0.000000,210,count
e1_v2a,e1_v2a_20260915T153333Z,v2a,2,1,0.004762,210,count
e1_v2a,e1_v2a_20260915T153333Z,v2a,3,8,0.038095,210,count
e1_v2a,e1_v2a_20260915T153333Z,v2a,4,62,0.295238,210,count
e1_v2a,e1_v2a_20260915T153333Z,v2a,5,139,0.661905,210,count
e1_v2b,e1_v2b_20260915T153711Z,v2b,1,0,0.000000,210,count
e1_v2b,e1_v2b_20260915T153711Z,v2b,2,2,0.009524,210,count
e1_v2b,e1_v2b_20260915T153711Z,v2b,3,10,0.047619,210,count
e1_v2b,e1_v2b_20260915T153711Z,v2b,4,21,0.100000,210,count
e1_v2b,e1_v2b_20260915T153711Z,v2b,5,177,0.842857,210,count
e1_v2c,e1_v2c_20260915T154039Z,v2c,1,0,0.000000,210,count
e1_v2c,e1_v2c_20260915T154039Z,v2c,2,2,0.009524,210,count
e1_v2c,e1_v2c_20260915T154039Z,v2c,3,11,0.052381,210,count
e1_v2c,e1_v2c_20260915T154039Z,v2c,4,47,0.223810,210,count
e1_v2c,e1_v2c_20260915T154039Z,v2c,5,150,0.714286,210,count
e1_v2d,e1_v2d_20260915T154407Z,v2d,1,0,0.000000,210,count
e1_v2d,e1_v2d_20260915T154407Z,v2d,2,2,0.009524,210,count
e1_v2d,e1_v2d_20260915T154407Z,v2d,3,9,0.042857,210,count
e1_v2d,e1_v2d_20260915T154407Z,v2d,4,62,0.295238,210,count
e1_v2d,e1_v2d_20260915T154407Z,v2d,5,137,0.652381,210,count
smoke,smoke_2026-09-14,v1,1,0,0.000000,10,count
smoke,smoke_2026-09-14,v1,2,0,0.000000,10,count
smoke,smoke_2026-09-14,v1,3,0,0.000000,10,count
smoke,smoke_2026-09-14,v1,4,1,0.100000,10,count
smoke,smoke_2026-09-14,v1,5,9,0.900000,10,count
