exp_id,run_id,prompt_version,repeat_idx,metric,n,k,estimate,ci_low,ci_high,method
e0_noise,e0_noise_20260914T115913Z,v1,0,category_match,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,0,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,0,passed,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,0,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,1,category_match,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,1,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,1,passed,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,1,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,2,category_match,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,2,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,2,passed,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,2,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,3,category_match,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,3,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,3,passed,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,3,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,4,category_match,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,4,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,4,passed,70,61,0.871429,0.773352,0.930859,wilson
e0_noise,e0_noise_20260914T115913Z,v1,4,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,pooled,category_match,350,305,0.871429,0.832287,0.902505,wilson
e0_noise,e0_noise_20260914T115913Z,v1,pooled,category_match,350,305,0.871429,0.831766,0.904651,clopper_pearson
e0_noise,e0_noise_20260914T115913Z,v1,pooled,passed,350,305,0.871429,0.832287,0.902505,wilson
e0_noise,e0_noise_20260914T115913Z,v1,pooled,passed,350,305,0.871429,0.831766,0.904651,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,0,category_match,70,60,0.857143,0.756616,0.920511,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,0,category_match,70,60,0.857143,0.752932,0.929310,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,0,passed,70,60,0.857143,0.756616,0.920511,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,0,passed,70,60,0.857143,0.752932,0.929310,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,1,category_match,70,62,0.885714,0.790358,0.940939,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,1,category_match,70,62,0.885714,0.787172,0.949348,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,1,passed,70,62,0.885714,0.790358,0.940939,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,1,passed,70,62,0.885714,0.787172,0.949348,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,2,category_match,70,61,0.871429,0.773352,0.930859,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,2,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,2,passed,70,60,0.857143,0.756616,0.920511,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,2,passed,70,60,0.857143,0.752932,0.929310,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,pooled,category_match,210,183,0.871429,0.819400,0.910113,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,pooled,category_match,210,183,0.871429,0.818472,0.913532,clopper_pearson
e1_v2a,e1_v2a_20260915T153333Z,v2a,pooled,passed,210,182,0.866667,0.814045,0.906115,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,pooled,passed,210,182,0.866667,0.813091,0.909539,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,0,category_match,70,62,0.885714,0.790358,0.940939,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,0,category_match,70,62,0.885714,0.787172,0.949348,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,0,passed,70,61,0.871429,0.773352,0.930859,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,0,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,1,category_match,70,63,0.900000,0.807671,0.950711,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,1,category_match,70,63,0.900000,0.804754,0.958840,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,1,passed,70,63,0.900000,0.807671,0.950711,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,1,passed,70,63,0.900000,0.804754,0.958840,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,2,category_match,70,63,0.900000,0.807671,0.950711,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,2,category_match,70,63,0.900000,0.804754,0.958840,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,2,passed,70,63,0.900000,0.807671,0.950711,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,2,passed,70,63,0.900000,0.804754,0.958840,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,pooled,category_match,210,188,0.895238,0.846482,0.929794,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,pooled,category_match,210,188,0.895238,0.845691,0.933173,clopper_pearson
e1_v2b,e1_v2b_20260915T153711Z,v2b,pooled,passed,210,187,0.890476,0.841021,0.925902,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,pooled,passed,210,187,0.890476,0.840202,0.929292,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,0,category_match,70,56,0.800000,0.691834,0.876953,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,0,category_match,70,56,0.800000,0.687264,0.886120,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,0,passed,70,56,0.800000,0.691834,0.876953,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,0,passed,70,56,0.800000,0.687264,0.886120,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,1,category_match,70,56,0.800000,0.691834,0.876953,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,1,category_match,70,56,0.800000,0.687264,0.886120,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,1,passed,70,56,0.800000,0.691834,0.876953,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,1,passed,70,56,0.800000,0.687264,0.886120,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,2,category_match,70,54,0.771429,0.660497,0.854119,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,2,category_match,70,54,0.771429,0.655525,0.863343,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,2,passed,70,54,0.771429,0.660497,0.854119,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,2,passed,70,54,0.771429,0.655525,0.863343,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,pooled,category_match,210,166,0.790476,0.730463,0.840053,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,pooled,category_match,210,166,0.790476,0.729118,0.843439,clopper_pearson
e1_v2c,e1_v2c_20260915T154039Z,v2c,pooled,passed,210,166,0.790476,0.730463,0.840053,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,pooled,passed,210,166,0.790476,0.729118,0.843439,clopper_pearson
e1_v2d,e1_v2d_20260915T154407Z,v2d,0,category_match,70,61,0.871429,0.773352,0.930859,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,0,category_match,70,61,0.871429,0.769912,0.939487,clopper_pearson
e1_v2d,e1_v2d_20260915T154407Z,v2d,0,passed,70,61,0.871429,0.773352,0.930859,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,0,passed,70,61,0.871429,0.769912,0.939487,clopper_pearson
