exp_id,run_id,prompt_version,stratum_kind,stratum,metric,n,k,estimate,ci_low,ci_high,method
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,ambiguous,category_match,85,75,0.882353,0.796814,0.934826,wilson
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,ambiguous,passed,85,75,0.882353,0.796814,0.934826,wilson
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,easy,category_match,225,210,0.933333,0.892932,0.959186,wilson
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,easy,passed,225,210,0.933333,0.892932,0.959186,wilson
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,edge,category_match,40,20,0.500000,0.351995,0.648005,wilson
e0_noise,e0_noise_20260914T115913Z,v1,difficulty,edge,passed,40,20,0.500000,0.351995,0.648005,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,en,category_match,140,120,0.857143,0.789630,0.905580,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,en,passed,140,120,0.857143,0.789630,0.905580,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,mixed,category_match,35,35,1.000000,0.901099,1.000000,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,mixed,passed,35,35,1.000000,0.901099,1.000000,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,zh-tw,category_match,175,150,0.857143,0.797616,0.901327,wilson
e0_noise,e0_noise_20260914T115913Z,v1,language,zh-tw,passed,175,150,0.857143,0.797616,0.901327,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,ambiguous,category_match,51,43,0.843137,0.719896,0.918308,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,ambiguous,passed,51,43,0.843137,0.719896,0.918308,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,easy,category_match,135,125,0.925926,0.869013,0.959269,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,easy,passed,135,124,0.918519,0.859983,0.953894,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,edge,category_match,24,15,0.625000,0.427100,0.788406,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,difficulty,edge,passed,24,15,0.625000,0.427100,0.788406,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,en,category_match,84,75,0.892857,0.808754,0.942600,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,en,passed,84,75,0.892857,0.808754,0.942600,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,mixed,category_match,21,20,0.952381,0.773306,0.991544,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,mixed,passed,21,20,0.952381,0.773306,0.991544,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,zh-tw,category_match,105,88,0.838095,0.755938,0.896387,wilson
e1_v2a,e1_v2a_20260915T153333Z,v2a,language,zh-tw,passed,105,87,0.828571,0.745227,0.888722,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,ambiguous,category_match,51,45,0.882353,0.766192,0.944949,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,ambiguous,passed,51,45,0.882353,0.766192,0.944949,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,easy,category_match,135,131,0.970370,0.926294,0.988419,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,easy,passed,135,130,0.962963,0.916229,0.984078,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,edge,category_match,24,12,0.500000,0.314274,0.685726,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,difficulty,edge,passed,24,12,0.500000,0.314274,0.685726,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,en,category_match,84,74,0.880952,0.794551,0.934035,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,en,passed,84,73,0.869048,0.780539,0.925278,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,mixed,category_match,21,21,1.000000,0.845361,1.000000,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,mixed,passed,21,21,1.000000,0.845361,1.000000,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,zh-tw,category_match,105,93,0.885714,0.810799,0.933403,wilson
e1_v2b,e1_v2b_20260915T153711Z,v2b,language,zh-tw,passed,105,93,0.885714,0.810799,0.933403,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,ambiguous,category_match,51,41,0.803922,0.675419,0.889847,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,ambiguous,passed,51,41,0.803922,0.675419,0.889847,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,easy,category_match,135,112,0.829630,0.757312,0.883707,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,easy,passed,135,112,0.829630,0.757312,0.883707,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,edge,category_match,24,13,0.541667,0.350749,0.721087,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,difficulty,edge,passed,24,13,0.541667,0.350749,0.721087,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,en,category_match,84,62,0.738095,0.635151,0.820215,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,en,passed,84,62,0.738095,0.635151,0.820215,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,mixed,category_match,21,18,0.857143,0.653639,0.950190,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,mixed,passed,21,18,0.857143,0.653639,0.950190,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,zh-tw,category_match,105,86,0.819048,0.734591,0.880983,wilson
e1_v2c,e1_v2c_20260915T154039Z,v2c,language,zh-tw,passed,105,86,0.819048,0.734591,0.880983,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,ambiguous,category_match,51,45,0.882353,0.766192,0.944949,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,ambiguous,passed,51,45,0.882353,0.766192,0.944949,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,easy,category_match,135,125,0.925926,0.869013,0.959269,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,easy,passed,135,125,0.925926,0.869013,0.959269,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,edge,category_match,24,14,0.583333,0.388347,0.755324,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,difficulty,edge,passed,24,14,0.583333,0.388347,0.755324,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,en,category_match,84,74,0.880952,0.794551,0.934035,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,en,passed,84,74,0.880952,0.794551,0.934035,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,mixed,category_match,21,20,0.952381,0.773306,0.991544,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,mixed,passed,21,20,0.952381,0.773306,0.991544,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,zh-tw,category_match,105,90,0.857143,0.777600,0.911475,wilson
e1_v2d,e1_v2d_20260915T154407Z,v2d,language,zh-tw,passed,105,90,0.857143,0.777600,0.911475,wilson
smoke,smoke_2026-09-14,v1,difficulty,ambiguous,category_match,3,2,0.666667,0.207660,0.938508,wilson
smoke,smoke_2026-09-14,v1,difficulty,ambiguous,passed,3,2,0.666667,0.207660,0.938508,wilson
smoke,smoke_2026-09-14,v1,difficulty,easy,category_match,7,7,1.000000,0.645670,1.000000,wilson
smoke,smoke_2026-09-14,v1,difficulty,easy,passed,7,7,1.000000,0.645670,1.000000,wilson
smoke,smoke_2026-09-14,v1,language,zh-tw,category_match,10,9,0.900000,0.595850,0.982124,wilson
smoke,smoke_2026-09-14,v1,language,zh-tw,passed,10,9,0.900000,0.595850,0.982124,wilson
