exp_id,run_id,prompt_version,metric,n_runs,n_per_run,mean,sd_sample,min,max,range,max_pairwise_abs_delta,warn_threshold,critical_threshold,runs_over_warn_vs_first,runs_over_critical_vs_first,n_cases,unstable_cases,instability_rate
e0_noise,e0_noise_20260914T115913Z,v1,category_match,5,70,0.914286,0.000000,0.914286,0.914286,0.000000,0.000000,0.030000,0.080000,0,0,70,0,0.000000
e0_noise,e0_noise_20260914T115913Z,v1,passed,5,70,0.914286,0.000000,0.914286,0.914286,0.000000,0.000000,0.030000,0.080000,0,0,70,0,0.000000
e1_v2a,e1_v2a_20260915T153333Z,v2a,category_match,3,70,0.914286,0.014286,0.900000,0.928571,0.028571,0.028571,0.030000,0.080000,0,0,70,2,0.028571
e1_v2a,e1_v2a_20260915T153333Z,v2a,passed,3,70,0.909524,0.016496,0.900000,0.928571,0.028571,0.028571,0.030000,0.080000,0,0,70,3,0.042857
e1_v2b,e1_v2b_20260915T153711Z,v2b,category_match,3,70,0.919048,0.008248,0.914286,0.928571,0.014286,0.014286,0.030000,0.080000,0,0,70,1,0.014286
e1_v2b,e1_v2b_20260915T153711Z,v2b,passed,3,70,0.914286,0.000000,0.914286,0.914286,0.000000,0.000000,0.030000,0.080000,0,0,70,2,0.028571
e1_v2c,e1_v2c_20260915T154039Z,v2c,category_match,3,70,0.804762,0.016496,0.785714,0.814286,0.028571,0.028571,0.030000,0.080000,0,0,70,3,0.042857
e1_v2c,e1_v2c_20260915T154039Z,v2c,passed,3,70,0.804762,0.016496,0.785714,0.814286,0.028571,0.028571,0.030000,0.080000,0,0,70,3,0.042857
e1_v2d,e1_v2d_20260915T154407Z,v2d,category_match,3,70,0.919048,0.008248,0.914286,0.928571,0.014286,0.014286,0.030000,0.080000,0,0,70,2,0.028571
e1_v2d,e1_v2d_20260915T154407Z,v2d,passed,3,70,0.919048,0.008248,0.914286,0.928571,0.014286,0.014286,0.030000,0.080000,0,0,70,2,0.028571
smoke,smoke_2026-09-14,v1,category_match,1,10,0.900000,,0.900000,0.900000,0.000000,0.000000,0.030000,0.080000,0,0,10,0,0.000000
smoke,smoke_2026-09-14,v1,passed,1,10,0.900000,,0.900000,0.900000,0.000000,0.000000,0.030000,0.080000,0,0,10,0,0.000000
